kernel,accuracy,precision_macro
linear,0.8208955223880597,0.8337595279075485
poly,0.7860696517412935,0.8503519574003892
rbf,0.8084577114427861,0.8436807095343681
sigmoid,0.6417910447761194,0.5990783410138248
